Multiplier type,Variable,Industry,UOM,VALUE
Direct multiplier,Output,"Boiler, tank and shipping container manufacturing [BS332400]",Per dollar of output,1
Direct multiplier,Output,"Machine shops, turned product, and screw, nut and bolt manufacturing [BS332700]",Per dollar of output,1
Direct multiplier,Output,"Coating, engraving, cold and heat treating and allied activities [BS332800]",Per dollar of output,1
Direct multiplier,Output,"Agricultural, construction and mining machinery manufacturing [BS333100]",Per dollar of output,1
Direct multiplier,Output,Industrial machinery manufacturing [BS333200],Per dollar of output,1
Direct multiplier,Output,Commercial and service industry machinery manufacturing [BS333300],Per dollar of output,1
Direct multiplier,Output,"Ventilation, heating, air-conditioning and commercial refrigeration equipment manufacturing [BS333400]",Per dollar of output,1
Direct multiplier,Output,Metalworking machinery manufacturing [BS333500],Per dollar of output,1
Direct multiplier,Output,"Engine, turbine and power transmission equipment manufacturing [BS333600]",Per dollar of output,1
Direct multiplier,Output,Other general-purpose machinery manufacturing [BS333900],Per dollar of output,1
Direct multiplier,Output,Computer and other electronic product manufacturing [BS334C00],Per dollar of output,1
Direct multiplier,Output,Communications equipment manufacturing [BS334200],Per dollar of output,1
Direct multiplier,Output,Semiconductor and other electronic component manufacturing [BS334400],Per dollar of output,1
Direct multiplier,Output,Electric lighting equipment and household appliance manufacturing [BS335B00],Per dollar of output,1
Direct multiplier,Output,Electrical equipment manufacturing [BS335300],Per dollar of output,1
Direct multiplier,Output,Other electrical equipment and component manufacturing [BS335900],Per dollar of output,1
Direct multiplier,Output,Automobile and light-duty motor vehicle manufacturing [BS336110],Per dollar of output,1
Direct multiplier,Output,Heavy-duty truck manufacturing [BS336120],Per dollar of output,1
Direct multiplier,Output,Motor vehicle body and trailer manufacturing [BS336200],Per dollar of output,1
Direct multiplier,Output,Motor vehicle parts manufacturing [BS336300],Per dollar of output,1
Direct multiplier,Output,Aerospace product and parts manufacturing [BS336400],Per dollar of output,1
Direct multiplier,Output,Railroad rolling stock manufacturing [BS336500],Per dollar of output,1
Direct multiplier,Output,Ship and boat building [BS336600],Per dollar of output,1
Direct multiplier,Output,Other transportation equipment manufacturing [BS336900],Per dollar of output,1
Direct multiplier,Output,Household and institutional furniture and kitchen cabinet manufacturing [BS337100],Per dollar of output,1
Direct multiplier,Output,Office furniture (including fixtures) manufacturing [BS337200],Per dollar of output,1
Direct multiplier,Output,Other furniture-related product manufacturing [BS337900],Per dollar of output,1
Direct multiplier,Output,Medical equipment and supplies manufacturing [BS339100],Per dollar of output,1
Direct multiplier,Output,Other miscellaneous manufacturing [BS339900],Per dollar of output,1
Direct multiplier,Output,Farm product merchant wholesalers [BS411000],Per dollar of output,1
Direct multiplier,Output,"Petroleum, petroleum products, and other hydrocarbons merchant wholesalers [BS412000]",Per dollar of output,1
Direct multiplier,Output,"Food, beverage and tobacco merchant wholesalers [BS413000]",Per dollar of output,1
Direct multiplier,Output,Personal and household goods merchant wholesalers [BS414000],Per dollar of output,1
Direct multiplier,Output,Motor vehicle and motor vehicle parts and accessories merchant wholesalers [BS415000],Per dollar of output,1
Direct multiplier,Output,Building material and supplies merchant wholesalers [BS416000],Per dollar of output,1
Direct multiplier,Output,"Machinery, equipment and supplies merchant wholesalers [BS417000]",Per dollar of output,1
Direct multiplier,Output,Miscellaneous merchant wholesalers [BS418000],Per dollar of output,1
Direct multiplier,Output,"Business-to-business electronic markets, and agents and brokers [BS419000]",Per dollar of output,1
Direct multiplier,Output,Motor vehicle and parts dealers [BS441000],Per dollar of output,1
Direct multiplier,Output,Building material and garden equipment and supplies dealers [BS444000],Per dollar of output,1
Direct multiplier,Output,Food and beverage retailers [BS445000],Per dollar of output,1
Direct multiplier,Output,"Furniture, home furnishings, electronics and appliances retailers [BS449000]",Per dollar of output,1
Direct multiplier,Output,General merchandise retailers [BS455000],Per dollar of output,1
Direct multiplier,Output,Health and personal care retailers [BS456000],Per dollar of output,1
Direct multiplier,Output,Gasoline stations and fuel vendors [BS457000],Per dollar of output,1
Direct multiplier,Output,"Clothing, clothing accessories, shoes, jewelry, luggage and leather goods retailers [BS458000]",Per dollar of output,1
Direct multiplier,Output,"Sporting goods, hobby, musical instrument, book, and miscellaneous retailers (except cannabis) [BS459A00]",Per dollar of output,1
Direct multiplier,Output,Cannabis retailers (licensed) [BS459BL0],Per dollar of output,1
Direct multiplier,Output,Cannabis retailers (unlicensed) [BS459BU0],Per dollar of output,1
Direct multiplier,Output,Air transportation [BS481000],Per dollar of output,1
Direct multiplier,Output,Rail transportation [BS482000],Per dollar of output,1
Direct multiplier,Output,Water transportation [BS483000],Per dollar of output,1
Direct multiplier,Output,Truck transportation [BS484000],Per dollar of output,1
Direct multiplier,Output,Urban transit systems [BS485100],Per dollar of output,1
Direct multiplier,Output,Other transit and ground passenger transportation and scenic and sightseeing transportation [BS48A000],Per dollar of output,1
Direct multiplier,Output,Taxi and limousine service [BS485300],Per dollar of output,1
Direct multiplier,Output,Crude oil and other pipeline transportation [BS486A00],Per dollar of output,1
Direct multiplier,Output,Pipeline transportation of natural gas [BS486200],Per dollar of output,1
Direct multiplier,Output,Support activities for transportation [BS488000],Per dollar of output,1
Direct multiplier,Output,Postal service [BS491000],Per dollar of output,1
Direct multiplier,Output,Couriers and messengers [BS492000],Per dollar of output,1
Direct multiplier,Output,Warehousing and storage [BS493000],Per dollar of output,1
Direct multiplier,Output,Motion picture and video industries (except exhibition) [BS5121A0],Per dollar of output,1
Direct multiplier,Output,Motion picture and video exhibition [BS512130],Per dollar of output,1
Direct multiplier,Output,Sound recording industries [BS512200],Per dollar of output,1
Direct multiplier,Output,Newspaper publishers [BS513110],Per dollar of output,1
Direct multiplier,Output,"Periodical, book and directory publishers [BS5131A0]",Per dollar of output,1
Direct multiplier,Output,Software publishers [BS513200],Per dollar of output,1
Direct multiplier,Output,Radio and television broadcasting stations [BS516100],Per dollar of output,1
Direct multiplier,Output,Pay and specialty television [BS516211],Per dollar of output,1
Direct multiplier,Output,Media streaming distribution services and other media content providers [BS51621A],Per dollar of output,1
Direct multiplier,Output,Telecommunications [BS517000],Per dollar of output,1
Direct multiplier,Output,"Computing infrastructure providers, data processing, web hosting, and related services [BS518000]",Per dollar of output,1
Direct multiplier,Output,"Web search portals, libraries, archives, and all other information services [BS519000]",Per dollar of output,1
Direct multiplier,Output,Monetary authorities - central bank [BS521000],Per dollar of output,1
Direct multiplier,Output,Banking and other depository credit intermediation [BS5221A0],Per dollar of output,1
Direct multiplier,Output,Credit unions [BS522B00],Per dollar of output,1
Direct multiplier,Output,Non-depository credit intermediation [BS522200],Per dollar of output,1
Direct multiplier,Output,Financial auxiliaries [BS52C000],Per dollar of output,1
Direct multiplier,Output,Other financial intermediaries [BS52D000],Per dollar of output,1
Direct multiplier,Output,Insurance carriers [BS524100],Per dollar of output,1
Direct multiplier,Output,Funds and other financial vehicles (except securitization vehicles) [BS526A00],Per dollar of output,1
Direct multiplier,Output,Lessors of real estate [BS531100],Per dollar of output,1
Direct multiplier,Output,Offices of real estate agents and brokers and activities related to real estate [BS531A00],Per dollar of output,1
Direct multiplier,Output,Owner-occupied dwellings [BS5311A0],Per dollar of output,1
Direct multiplier,Output,Automotive equipment rental and leasing [BS532100],Per dollar of output,1
Direct multiplier,Output,Rental and leasing services (except automotive equipment) [BS532A00],Per dollar of output,1
Direct multiplier,Output,Lessors of non-financial intangible assets (except copyrighted works) [BS533000],Per dollar of output,1
Direct multiplier,Output,Legal services [BS541100],Per dollar of output,1
Direct multiplier,Output,"Accounting, tax preparation, bookkeeping and payroll services [BS541200]",Per dollar of output,1
Direct multiplier,Output,"Architectural, engineering and related services [BS541300]",Per dollar of output,1
Direct multiplier,Output,Specialized design services [BS541400],Per dollar of output,1
Direct multiplier,Output,Computer systems design and related services [BS541500],Per dollar of output,1
Direct multiplier,Output,"Management, scientific and technical consulting services [BS541600]",Per dollar of output,1
Direct multiplier,Output,Scientific research and development services [BS541700],Per dollar of output,1
Direct multiplier,Output,"Advertising, public relations, and related services [BS541800]",Per dollar of output,1
Direct multiplier,Output,"Other professional, scientific and technical services [BS541900]",Per dollar of output,1
Direct multiplier,Output,Holding companies [BS551113],Per dollar of output,1
Direct multiplier,Output,Office administrative services [BS561100],Per dollar of output,1
Direct multiplier,Output,Facilities and other support services [BS561A00],Per dollar of output,1
Direct multiplier,Output,Employment services [BS561300],Per dollar of output,1
Direct multiplier,Output,Business support services [BS561400],Per dollar of output,1
Direct multiplier,Output,Travel arrangement and reservation services [BS561500],Per dollar of output,1
Direct multiplier,Output,Investigation and security services [BS561600],Per dollar of output,1
Direct multiplier,Output,Services to buildings and dwellings [BS561700],Per dollar of output,1
Direct multiplier,Output,Waste management and remediation services [BS562000],Per dollar of output,1
Direct multiplier,Output,Educational services [BS610000],Per dollar of output,1
Direct multiplier,Output,Offices of physicians [BS621100],Per dollar of output,1
Direct multiplier,Output,Offices of dentists [BS621200],Per dollar of output,1
Direct multiplier,Output,Miscellaneous ambulatory health care services [BS621A00],Per dollar of output,1
Direct multiplier,Output,Nursing and residential care facilities [BS623000],Per dollar of output,1
Direct multiplier,Output,Social assistance [BS624000],Per dollar of output,1
Direct multiplier,Output,"Performing arts, spectator sports and related industries, and heritage institutions [BS71A000]",Per dollar of output,1
Direct multiplier,Output,Amusement and recreation industries [BS713A00],Per dollar of output,1
Direct multiplier,Output,Gambling industries [BS713200],Per dollar of output,1
Direct multiplier,Output,Traveller accommodation [BS721100],Per dollar of output,1
Direct multiplier,Output,"Recreational vehicle (RV) parks, recreational camps, and rooming and boarding houses [BS721A00]",Per dollar of output,1
Direct multiplier,Output,Food services and drinking places [BS722000],Per dollar of output,1
Direct multiplier,Output,Automotive repair and maintenance [BS811100],Per dollar of output,1
Direct multiplier,Output,Repair and maintenance (except automotive) [BS811A00],Per dollar of output,1
Direct multiplier,Output,Personal care services and other personal services [BS812A00],Per dollar of output,1
Direct multiplier,Output,Funeral services [BS812200],Per dollar of output,1
Direct multiplier,Output,Dry cleaning and laundry services [BS812300],Per dollar of output,1
Direct multiplier,Output,"Business, professional and other membership organizations [BS813000]",Per dollar of output,1
Direct multiplier,Output,Private households [BS814000],Per dollar of output,1
Direct multiplier,Output,Educational services [NP610000],Per dollar of output,1
Direct multiplier,Output,Ambulatory health care services [NP621000],Per dollar of output,1
Direct multiplier,Output,Social assistance [NP624000],Per dollar of output,1
Direct multiplier,Output,"Arts, entertainment and recreation [NP710000]",Per dollar of output,1
Direct multiplier,Output,Religious organizations [NP813100],Per dollar of output,1
Direct multiplier,Output,"Grant-making, civic, and professional and similar organizations [NP813A00]",Per dollar of output,1
Direct multiplier,Output,Other non-profit institutions serving households [NP999999],Per dollar of output,1
Direct multiplier,Output,Elementary and secondary schools [GS611100],Per dollar of output,1
Direct multiplier,Output,Community colleges and C.E.G.E.P.s [GS611200],Per dollar of output,1
Direct multiplier,Output,Universities [GS611300],Per dollar of output,1
Direct multiplier,Output,Ambulatory health care services and social assistance [GS62A000],Per dollar of output,1
Direct multiplier,Output,Hospitals [GS622000],Per dollar of output,1
Direct multiplier,Output,Nursing and residential care facilities [GS623000],Per dollar of output,1
Direct multiplier,Output,Defence services [GS911100],Per dollar of output,1
Direct multiplier,Output,Other federal government services (except defence) [GS911A00],Per dollar of output,1
Direct multiplier,Output,Other provincial and territorial government services [GS912000],Per dollar of output,1
Direct multiplier,Output,Other municipal government services [GS913000],Per dollar of output,1
Direct multiplier,Output,Other Indigenous government services [GS914000],Per dollar of output,1
Direct multiplier,Gross domestic product (GDP) at market prices,Total industries,Per dollar of output,0.538
Direct multiplier,Gross domestic product (GDP) at market prices,"Crop production (except cannabis, greenhouse, nursery and floriculture production) [BS111A00]",Per dollar of output,0.496
Direct multiplier,Gross domestic product (GDP) at market prices,"Greenhouse, nursery and floriculture production (except cannabis) [BS1114A0]",Per dollar of output,0.466
Direct multiplier,Gross domestic product (GDP) at market prices,Cannabis production (licensed) [BS111CL0],Per dollar of output,0.476
Direct multiplier,Gross domestic product (GDP) at market prices,Cannabis production (unlicensed) [BS111CU0],Per dollar of output,0.588
Direct multiplier,Gross domestic product (GDP) at market prices,Animal production (except aquaculture) [BS112A00],Per dollar of output,0.162
Direct multiplier,Gross domestic product (GDP) at market prices,Aquaculture [BS112500],Per dollar of output,0.362
Direct multiplier,Gross domestic product (GDP) at market prices,Forestry and logging [BS113000],Per dollar of output,0.406
Direct multiplier,Gross domestic product (GDP) at market prices,"Fishing, hunting and trapping [BS114000]",Per dollar of output,0.621
Direct multiplier,Gross domestic product (GDP) at market prices,Support activities for crop and animal production [BS115A00],Per dollar of output,0.752
Direct multiplier,Gross domestic product (GDP) at market prices,Support activities for forestry [BS115300],Per dollar of output,0.503
Direct multiplier,Gross domestic product (GDP) at market prices,Oil and gas extraction (except oil sands) [BS211110],Per dollar of output,0.736
Direct multiplier,Gross domestic product (GDP) at market prices,Oil sands extraction [BS211140],Per dollar of output,0.555
Direct multiplier,Gross domestic product (GDP) at market prices,Coal mining [BS212100],Per dollar of output,0.757
Direct multiplier,Gross domestic product (GDP) at market prices,Iron ore mining [BS212210],Per dollar of output,0.659
Direct multiplier,Gross domestic product (GDP) at market prices,Gold and silver ore mining [BS212220],Per dollar of output,0.565
Direct multiplier,Gross domestic product (GDP) at market prices,"Copper, nickel, lead and zinc ore mining [BS212230]",Per dollar of output,0.673
Direct multiplier,Gross domestic product (GDP) at market prices,Other metal ore mining [BS212290],Per dollar of output,0.638
Direct multiplier,Gross domestic product (GDP) at market prices,Stone mining and quarrying [BS212310],Per dollar of output,0.585
Direct multiplier,Gross domestic product (GDP) at market prices,"Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying [BS212320]",Per dollar of output,0.548
