Multiplier type,Variable,Industry,UOM,VALUE
Direct multiplier,Labour income of unincorporated sector,Cement and concrete product manufacturing [BS327300],Per dollar of output,0.001
Direct multiplier,Labour income of unincorporated sector,Iron and steel mills and ferro-alloy manufacturing [BS331100],Per dollar of output,0
Direct multiplier,Labour income of unincorporated sector,Steel product manufacturing from purchased steel [BS331200],Per dollar of output,0
Direct multiplier,Labour income of unincorporated sector,Foundries [BS331500],Per dollar of output,0.001
Direct multiplier,Labour income of unincorporated sector,"Forging, stamping and other fabricated metal product manufacturing [BS332B00]",Per dollar of output,0.001
Direct multiplier,Labour income of unincorporated sector,Architectural and structural metals manufacturing [BS332300],Per dollar of output,0.001
Direct multiplier,Labour income of unincorporated sector,"Boiler, tank and shipping container manufacturing [BS332400]",Per dollar of output,0
Direct multiplier,Labour income of unincorporated sector,"Machine shops, turned product, and screw, nut and bolt manufacturing [BS332700]",Per dollar of output,0.004
Direct multiplier,Labour income of unincorporated sector,"Coating, engraving, cold and heat treating and allied activities [BS332800]",Per dollar of output,0.002
Direct multiplier,Labour income of unincorporated sector,"Agricultural, construction and mining machinery manufacturing [BS333100]",Per dollar of output,0.001
Direct multiplier,Labour income of unincorporated sector,Industrial machinery manufacturing [BS333200],Per dollar of output,0.001
Direct multiplier,Labour income of unincorporated sector,Commercial and service industry machinery manufacturing [BS333300],Per dollar of output,0
Direct multiplier,Labour income of unincorporated sector,"Ventilation, heating, air-conditioning and commercial refrigeration equipment manufacturing [BS333400]",Per dollar of output,0
Direct multiplier,Labour income of unincorporated sector,Metalworking machinery manufacturing [BS333500],Per dollar of output,0.001
Direct multiplier,Labour income of unincorporated sector,"Engine, turbine and power transmission equipment manufacturing [BS333600]",Per dollar of output,0.001
Direct multiplier,Labour income of unincorporated sector,Other general-purpose machinery manufacturing [BS333900],Per dollar of output,0.001
Direct multiplier,Labour income of unincorporated sector,Communications equipment manufacturing [BS334200],Per dollar of output,0.001
Direct multiplier,Labour income of unincorporated sector,Semiconductor and other electronic component manufacturing [BS334400],Per dollar of output,0.001
Direct multiplier,Labour income of unincorporated sector,Electric lighting equipment and household appliance manufacturing [BS335B00],Per dollar of output,0.001
Direct multiplier,Labour income of unincorporated sector,Heavy-duty truck manufacturing [BS336120],Per dollar of output,0.001
Direct multiplier,Labour income of unincorporated sector,Motor vehicle body and trailer manufacturing [BS336200],Per dollar of output,0.001
Direct multiplier,Labour income of unincorporated sector,Ship and boat building [BS336600],Per dollar of output,0.002
Direct multiplier,Labour income of unincorporated sector,Other transportation equipment manufacturing [BS336900],Per dollar of output,0
Direct multiplier,Labour income of unincorporated sector,Household and institutional furniture and kitchen cabinet manufacturing [BS337100],Per dollar of output,0.011
Direct multiplier,Labour income of unincorporated sector,Office furniture (including fixtures) manufacturing [BS337200],Per dollar of output,0.001
Direct multiplier,Labour income of unincorporated sector,Other furniture-related product manufacturing [BS337900],Per dollar of output,0.002
Direct multiplier,Labour income of unincorporated sector,Medical equipment and supplies manufacturing [BS339100],Per dollar of output,0.003
Direct multiplier,Labour income of unincorporated sector,Other miscellaneous manufacturing [BS339900],Per dollar of output,0.007
Direct multiplier,Labour income of unincorporated sector,Farm product merchant wholesalers [BS411000],Per dollar of output,0.001
Direct multiplier,Labour income of unincorporated sector,"Petroleum, petroleum products, and other hydrocarbons merchant wholesalers [BS412000]",Per dollar of output,0.001
Direct multiplier,Labour income of unincorporated sector,"Food, beverage and tobacco merchant wholesalers [BS413000]",Per dollar of output,0.003
Direct multiplier,Labour income of unincorporated sector,Personal and household goods merchant wholesalers [BS414000],Per dollar of output,0.002
Direct multiplier,Labour income of unincorporated sector,Motor vehicle and motor vehicle parts and accessories merchant wholesalers [BS415000],Per dollar of output,0.001
Direct multiplier,Labour income of unincorporated sector,Building material and supplies merchant wholesalers [BS416000],Per dollar of output,0.002
Direct multiplier,Labour income of unincorporated sector,"Machinery, equipment and supplies merchant wholesalers [BS417000]",Per dollar of output,0.002
Direct multiplier,Labour income of unincorporated sector,Miscellaneous merchant wholesalers [BS418000],Per dollar of output,0.003
Direct multiplier,Labour income of unincorporated sector,"Business-to-business electronic markets, and agents and brokers [BS419000]",Per dollar of output,0.009
Direct multiplier,Labour income of unincorporated sector,Motor vehicle and parts dealers [BS441000],Per dollar of output,0.022
Direct multiplier,Labour income of unincorporated sector,Building material and garden equipment and supplies dealers [BS444000],Per dollar of output,0.014
Direct multiplier,Labour income of unincorporated sector,Food and beverage retailers [BS445000],Per dollar of output,0.015
Direct multiplier,Labour income of unincorporated sector,General merchandise retailers [BS455000],Per dollar of output,0
Direct multiplier,Labour income of unincorporated sector,Health and personal care retailers [BS456000],Per dollar of output,0
Direct multiplier,Labour income of unincorporated sector,Gasoline stations and fuel vendors [BS457000],Per dollar of output,0
Direct multiplier,Labour income of unincorporated sector,"Clothing, clothing accessories, shoes, jewelry, luggage and leather goods retailers [BS458000]",Per dollar of output,0
Direct multiplier,Labour income of unincorporated sector,Air transportation [BS481000],Per dollar of output,0
Direct multiplier,Labour income of unincorporated sector,Water transportation [BS483000],Per dollar of output,0
Direct multiplier,Labour income of unincorporated sector,Truck transportation [BS484000],Per dollar of output,0.013
Direct multiplier,Labour income of unincorporated sector,Urban transit systems [BS485100],Per dollar of output,0
Direct multiplier,Labour income of unincorporated sector,Other transit and ground passenger transportation and scenic and sightseeing transportation [BS48A000],Per dollar of output,0.009
Direct multiplier,Labour income of unincorporated sector,Taxi and limousine service [BS485300],Per dollar of output,0.156
Direct multiplier,Labour income of unincorporated sector,Support activities for transportation [BS488000],Per dollar of output,0.003
Direct multiplier,Labour income of unincorporated sector,Postal service [BS491000],Per dollar of output,0.002
Direct multiplier,Labour income of unincorporated sector,Couriers and messengers [BS492000],Per dollar of output,0.04
Direct multiplier,Labour income of unincorporated sector,Warehousing and storage [BS493000],Per dollar of output,0.002
Direct multiplier,Labour income of unincorporated sector,Motion picture and video industries (except exhibition) [BS5121A0],Per dollar of output,0.026
Direct multiplier,Labour income of unincorporated sector,Motion picture and video exhibition [BS512130],Per dollar of output,0.007
Direct multiplier,Labour income of unincorporated sector,Sound recording industries [BS512200],Per dollar of output,0.04
Direct multiplier,Labour income of unincorporated sector,Newspaper publishers [BS513110],Per dollar of output,0
Direct multiplier,Labour income of unincorporated sector,"Periodical, book and directory publishers [BS5131A0]",Per dollar of output,0.031
Direct multiplier,Labour income of unincorporated sector,Software publishers [BS513200],Per dollar of output,0.001
Direct multiplier,Labour income of unincorporated sector,Radio and television broadcasting stations [BS516100],Per dollar of output,0.014
Direct multiplier,Labour income of unincorporated sector,Media streaming distribution services and other media content providers [BS51621A],Per dollar of output,0.028
Direct multiplier,Labour income of unincorporated sector,Telecommunications [BS517000],Per dollar of output,0
Direct multiplier,Labour income of unincorporated sector,"Computing infrastructure providers, data processing, web hosting, and related services [BS518000]",Per dollar of output,0.002
Direct multiplier,Labour income of unincorporated sector,"Web search portals, libraries, archives, and all other information services [BS519000]",Per dollar of output,0.006
Direct multiplier,Labour income of unincorporated sector,Credit unions [BS522B00],Per dollar of output,0.002
Direct multiplier,Labour income of unincorporated sector,Non-depository credit intermediation [BS522200],Per dollar of output,0.002
Direct multiplier,Labour income of unincorporated sector,Financial auxiliaries [BS52C000],Per dollar of output,0.026
Direct multiplier,Labour income of unincorporated sector,Other financial intermediaries [BS52D000],Per dollar of output,0.017
Direct multiplier,Labour income of unincorporated sector,Funds and other financial vehicles (except securitization vehicles) [BS526A00],Per dollar of output,0.01
Direct multiplier,Labour income of unincorporated sector,Lessors of real estate [BS531100],Per dollar of output,0.002
Direct multiplier,Labour income of unincorporated sector,Offices of real estate agents and brokers and activities related to real estate [BS531A00],Per dollar of output,0.1
Direct multiplier,Labour income of unincorporated sector,Automotive equipment rental and leasing [BS532100],Per dollar of output,0.001
Direct multiplier,Labour income of unincorporated sector,Rental and leasing services (except automotive equipment) [BS532A00],Per dollar of output,0.001
Direct multiplier,Labour income of unincorporated sector,Lessors of non-financial intangible assets (except copyrighted works) [BS533000],Per dollar of output,0
Direct multiplier,Labour income of unincorporated sector,Legal services [BS541100],Per dollar of output,0.105
Direct multiplier,Labour income of unincorporated sector,"Accounting, tax preparation, bookkeeping and payroll services [BS541200]",Per dollar of output,0.109
Direct multiplier,Labour income of unincorporated sector,"Architectural, engineering and related services [BS541300]",Per dollar of output,0.013
Direct multiplier,Labour income of unincorporated sector,Specialized design services [BS541400],Per dollar of output,0.224
Direct multiplier,Labour income of unincorporated sector,Computer systems design and related services [BS541500],Per dollar of output,0.016
Direct multiplier,Labour income of unincorporated sector,"Management, scientific and technical consulting services [BS541600]",Per dollar of output,0.053
Direct multiplier,Labour income of unincorporated sector,Scientific research and development services [BS541700],Per dollar of output,0.006
Direct multiplier,Labour income of unincorporated sector,"Advertising, public relations, and related services [BS541800]",Per dollar of output,0.044
Direct multiplier,Labour income of unincorporated sector,"Other professional, scientific and technical services [BS541900]",Per dollar of output,0.058
Direct multiplier,Labour income of unincorporated sector,Office administrative services [BS561100],Per dollar of output,0.005
Direct multiplier,Labour income of unincorporated sector,Facilities and other support services [BS561A00],Per dollar of output,0.002
Direct multiplier,Labour income of unincorporated sector,Employment services [BS561300],Per dollar of output,0.004
Direct multiplier,Labour income of unincorporated sector,Business support services [BS561400],Per dollar of output,0.011
Direct multiplier,Labour income of unincorporated sector,Travel arrangement and reservation services [BS561500],Per dollar of output,0.016
Direct multiplier,Labour income of unincorporated sector,Investigation and security services [BS561600],Per dollar of output,0.004
Direct multiplier,Labour income of unincorporated sector,Services to buildings and dwellings [BS561700],Per dollar of output,0.055
Direct multiplier,Labour income of unincorporated sector,Waste management and remediation services [BS562000],Per dollar of output,0.002
Direct multiplier,Labour income of unincorporated sector,Educational services [BS610000],Per dollar of output,0.064
Direct multiplier,Labour income of unincorporated sector,Offices of physicians [BS621100],Per dollar of output,0.134
Direct multiplier,Labour income of unincorporated sector,Offices of dentists [BS621200],Per dollar of output,0.042
Direct multiplier,Labour income of unincorporated sector,Miscellaneous ambulatory health care services [BS621A00],Per dollar of output,0.18
Direct multiplier,Labour income of unincorporated sector,Nursing and residential care facilities [BS623000],Per dollar of output,0.011
Direct multiplier,Labour income of unincorporated sector,Social assistance [BS624000],Per dollar of output,0.141
Direct multiplier,Labour income of unincorporated sector,"Performing arts, spectator sports and related industries, and heritage institutions [BS71A000]",Per dollar of output,0.092
Direct multiplier,Labour income of unincorporated sector,Amusement and recreation industries [BS713A00],Per dollar of output,0.015
Direct multiplier,Labour income of unincorporated sector,Gambling industries [BS713200],Per dollar of output,0.001
Direct multiplier,Labour income of unincorporated sector,Traveller accommodation [BS721100],Per dollar of output,0.002
Direct multiplier,Labour income of unincorporated sector,"Recreational vehicle (RV) parks, recreational camps, and rooming and boarding houses [BS721A00]",Per dollar of output,0.005
Direct multiplier,Labour income of unincorporated sector,Food services and drinking places [BS722000],Per dollar of output,0.009
Direct multiplier,Labour income of unincorporated sector,Automotive repair and maintenance [BS811100],Per dollar of output,0.028
Direct multiplier,Labour income of unincorporated sector,Repair and maintenance (except automotive) [BS811A00],Per dollar of output,0.035
Direct multiplier,Labour income of unincorporated sector,Personal care services and other personal services [BS812A00],Per dollar of output,0.07
Direct multiplier,Labour income of unincorporated sector,Funeral services [BS812200],Per dollar of output,0.004
Direct multiplier,Labour income of unincorporated sector,Dry cleaning and laundry services [BS812300],Per dollar of output,0.011
Direct multiplier,Gross operating surplus,Total industries,Per dollar of output,0.226
Direct multiplier,Gross operating surplus,"Crop production (except cannabis, greenhouse, nursery and floriculture production) [BS111A00]",Per dollar of output,0.475
Direct multiplier,Gross operating surplus,"Greenhouse, nursery and floriculture production (except cannabis) [BS1114A0]",Per dollar of output,0.108
Direct multiplier,Gross operating surplus,Cannabis production (licensed) [BS111CL0],Per dollar of output,0.085
Direct multiplier,Gross operating surplus,Cannabis production (unlicensed) [BS111CU0],Per dollar of output,0.542
Direct multiplier,Gross operating surplus,Animal production (except aquaculture) [BS112A00],Per dollar of output,0.067
Direct multiplier,Gross operating surplus,Aquaculture [BS112500],Per dollar of output,0.194
Direct multiplier,Gross operating surplus,Forestry and logging [BS113000],Per dollar of output,0.195
Direct multiplier,Gross operating surplus,"Fishing, hunting and trapping [BS114000]",Per dollar of output,0.396
Direct multiplier,Gross operating surplus,Support activities for crop and animal production [BS115A00],Per dollar of output,0.284
Direct multiplier,Gross operating surplus,Support activities for forestry [BS115300],Per dollar of output,0.127
Direct multiplier,Gross operating surplus,Oil and gas extraction (except oil sands) [BS211110],Per dollar of output,0.665
Direct multiplier,Gross operating surplus,Oil sands extraction [BS211140],Per dollar of output,0.497
Direct multiplier,Gross operating surplus,Coal mining [BS212100],Per dollar of output,0.606
Direct multiplier,Gross operating surplus,Iron ore mining [BS212210],Per dollar of output,0.523
Direct multiplier,Gross operating surplus,Gold and silver ore mining [BS212220],Per dollar of output,0.317
Direct multiplier,Gross operating surplus,"Copper, nickel, lead and zinc ore mining [BS212230]",Per dollar of output,0.492
Direct multiplier,Gross operating surplus,Other metal ore mining [BS212290],Per dollar of output,0.365
Direct multiplier,Gross operating surplus,Stone mining and quarrying [BS212310],Per dollar of output,0.36
Direct multiplier,Gross operating surplus,"Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying [BS212320]",Per dollar of output,0.194
Direct multiplier,Gross operating surplus,Diamond mining [BS212392],Per dollar of output,0.299
Direct multiplier,Gross operating surplus,Other non-metallic mineral mining and quarrying (except diamond and potash) [BS21239A],Per dollar of output,0.411
Direct multiplier,Gross operating surplus,Potash mining [BS212396],Per dollar of output,0.788
Direct multiplier,Gross operating surplus,Support activities for oil and gas extraction [BS21311A],Per dollar of output,0.373
Direct multiplier,Gross operating surplus,Support activities for mining [BS21311B],Per dollar of output,0.145
Direct multiplier,Gross operating surplus,"Electric power generation, transmission and distribution [BS221100]",Per dollar of output,0.569
Direct multiplier,Gross operating surplus,Natural gas distribution [BS221200],Per dollar of output,0.59
Direct multiplier,Gross operating surplus,"Water, sewage and other systems [BS221300]",Per dollar of output,0.262
Direct multiplier,Gross operating surplus,Residential building construction [BS23A000],Per dollar of output,0.099
Direct multiplier,Gross operating surplus,Non-residential building construction [BS23B000],Per dollar of output,0.083
Direct multiplier,Gross operating surplus,Transportation engineering construction [BS23C100],Per dollar of output,0.1
Direct multiplier,Gross operating surplus,Oil and gas engineering construction [BS23C200],Per dollar of output,0.108
Direct multiplier,Gross operating surplus,Electric power engineering construction [BS23C300],Per dollar of output,0.299
Direct multiplier,Gross operating surplus,Communication engineering construction [BS23C400],Per dollar of output,0.065
Direct multiplier,Gross operating surplus,Other engineering construction [BS23C500],Per dollar of output,0.128
Direct multiplier,Gross operating surplus,Repair construction [BS23D000],Per dollar of output,0.121
Direct multiplier,Gross operating surplus,Other activities of the construction industry [BS23E000],Per dollar of output,0.468
Direct multiplier,Gross operating surplus,Animal food manufacturing [BS311100],Per dollar of output,0.061
Direct multiplier,Gross operating surplus,Grain and oilseed milling [BS311200],Per dollar of output,0.077
Direct multiplier,Gross operating surplus,Sugar and confectionery product manufacturing [BS311300],Per dollar of output,0.174
Direct multiplier,Gross operating surplus,Fruit and vegetable preserving and specialty food manufacturing [BS311400],Per dollar of output,0.103
Direct multiplier,Gross operating surplus,Dairy product manufacturing [BS311500],Per dollar of output,0.115
Direct multiplier,Gross operating surplus,Meat product manufacturing [BS311600],Per dollar of output,0.112
Direct multiplier,Gross operating surplus,Seafood product preparation and packaging [BS311700],Per dollar of output,0.072
Direct multiplier,Gross operating surplus,Bakeries and tortilla manufacturing [BS311800],Per dollar of output,0.112
Direct multiplier,Gross operating surplus,Other food manufacturing [BS311900],Per dollar of output,0.103
Direct multiplier,Gross operating surplus,Soft drink and ice manufacturing [BS312110],Per dollar of output,0.041
Direct multiplier,Gross operating surplus,Breweries [BS312120],Per dollar of output,0.162
Direct multiplier,Gross operating surplus,Wineries and distilleries [BS3121A0],Per dollar of output,0.128
Direct multiplier,Gross operating surplus,Tobacco and cannabis product manufacturing [BS312A00],Per dollar of output,0.277
Direct multiplier,Gross operating surplus,Textile and textile product mills [BS31A000],Per dollar of output,0.115
Direct multiplier,Gross operating surplus,Clothing and leather and allied product manufacturing [BS31B000],Per dollar of output,0.099
Direct multiplier,Gross operating surplus,Sawmills and wood preservation [BS321100],Per dollar of output,0.216
Direct multiplier,Gross operating surplus,"Veneer, plywood and engineered wood product manufacturing [BS321200]",Per dollar of output,0.264
Direct multiplier,Gross operating surplus,Other wood product manufacturing [BS321900],Per dollar of output,0.112
Direct multiplier,Gross operating surplus,"Pulp, paper and paperboard mills [BS322100]",Per dollar of output,0.105
Direct multiplier,Gross operating surplus,Converted paper product manufacturing [BS322200],Per dollar of output,0.113
Direct multiplier,Gross operating surplus,Printing and related support activities [BS323000],Per dollar of output,0.086
Direct multiplier,Gross operating surplus,Petroleum refineries [BS324110],Per dollar of output,0.17
Direct multiplier,Gross operating surplus,Petroleum and coal product manufacturing (except petroleum refineries) [BS3241A0],Per dollar of output,0.142
Direct multiplier,Gross operating surplus,Basic chemical manufacturing [BS325100],Per dollar of output,0.14
Direct multiplier,Gross operating surplus,"Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing [BS325200]",Per dollar of output,0.21
Direct multiplier,Gross operating surplus,"Pesticide, fertilizer and other agricultural chemical manufacturing [BS325300]",Per dollar of output,0.238
Direct multiplier,Gross operating surplus,Pharmaceutical and medicine manufacturing [BS325400],Per dollar of output,0.157
Direct multiplier,Gross operating surplus,"Paint, coating and adhesive manufacturing [BS325500]",Per dollar of output,0.104
Direct multiplier,Gross operating surplus,"Soap, cleaning compound and toilet preparation manufacturing [BS325600]",Per dollar of output,0.112
Direct multiplier,Gross operating surplus,Other chemical product manufacturing [BS325900],Per dollar of output,0.116
Direct multiplier,Gross operating surplus,Plastic product manufacturing [BS326100],Per dollar of output,0.096
Direct multiplier,Gross operating surplus,Rubber product manufacturing [BS326200],Per dollar of output,0.081
Direct multiplier,Gross operating surplus,Non-metallic mineral product manufacturing (except cement and concrete products) [BS327A00],Per dollar of output,0.143
Direct multiplier,Gross operating surplus,Cement and concrete product manufacturing [BS327300],Per dollar of output,0.133
Direct multiplier,Gross operating surplus,Iron and steel mills and ferro-alloy manufacturing [BS331100],Per dollar of output,0.129
Direct multiplier,Gross operating surplus,Steel product manufacturing from purchased steel [BS331200],Per dollar of output,0.089
Direct multiplier,Gross operating surplus,Alumina and aluminum production and processing [BS331300],Per dollar of output,0.233
Direct multiplier,Gross operating surplus,Non-ferrous metal (except aluminum) production and processing [BS331400],Per dollar of output,0.038
Direct multiplier,Gross operating surplus,Foundries [BS331500],Per dollar of output,0.104
Direct multiplier,Gross operating surplus,"Forging, stamping and other fabricated metal product manufacturing [BS332B00]",Per dollar of output,0.091
Direct multiplier,Gross operating surplus,Architectural and structural metals manufacturing [BS332300],Per dollar of output,0.104
Direct multiplier,Gross operating surplus,"Boiler, tank and shipping container manufacturing [BS332400]",Per dollar of output,0.076
Direct multiplier,Gross operating surplus,"Machine shops, turned product, and screw, nut and bolt manufacturing [BS332700]",Per dollar of output,0.12
Direct multiplier,Gross operating surplus,"Coating, engraving, cold and heat treating and allied activities [BS332800]",Per dollar of output,0.112
Direct multiplier,Gross operating surplus,"Agricultural, construction and mining machinery manufacturing [BS333100]",Per dollar of output,0.137
Direct multiplier,Gross operating surplus,Industrial machinery manufacturing [BS333200],Per dollar of output,0.159
Direct multiplier,Gross operating surplus,Commercial and service industry machinery manufacturing [BS333300],Per dollar of output,0.144
Direct multiplier,Gross operating surplus,"Ventilation, heating, air-conditioning and commercial refrigeration equipment manufacturing [BS333400]",Per dollar of output,0.138
Direct multiplier,Gross operating surplus,Metalworking machinery manufacturing [BS333500],Per dollar of output,0.114
Direct multiplier,Gross operating surplus,"Engine, turbine and power transmission equipment manufacturing [BS333600]",Per dollar of output,0.146
Direct multiplier,Gross operating surplus,Other general-purpose machinery manufacturing [BS333900],Per dollar of output,0.112
Direct multiplier,Gross operating surplus,Computer and other electronic product manufacturing [BS334C00],Per dollar of output,0.172
Direct multiplier,Gross operating surplus,Communications equipment manufacturing [BS334200],Per dollar of output,0.112
Direct multiplier,Gross operating surplus,Semiconductor and other electronic component manufacturing [BS334400],Per dollar of output,0.105
Direct multiplier,Gross operating surplus,Electric lighting equipment and household appliance manufacturing [BS335B00],Per dollar of output,0.064
Direct multiplier,Gross operating surplus,Electrical equipment manufacturing [BS335300],Per dollar of output,0.067
Direct multiplier,Gross operating surplus,Other electrical equipment and component manufacturing [BS335900],Per dollar of output,0.059
Direct multiplier,Gross operating surplus,Automobile and light-duty motor vehicle manufacturing [BS336110],Per dollar of output,0.002
Direct multiplier,Gross operating surplus,Heavy-duty truck manufacturing [BS336120],Per dollar of output,0.007
Direct multiplier,Gross operating surplus,Motor vehicle body and trailer manufacturing [BS336200],Per dollar of output,0.091
Direct multiplier,Gross operating surplus,Motor vehicle parts manufacturing [BS336300],Per dollar of output,0.047
Direct multiplier,Gross operating surplus,Aerospace product and parts manufacturing [BS336400],Per dollar of output,0.07
Direct multiplier,Gross operating surplus,Railroad rolling stock manufacturing [BS336500],Per dollar of output,0.01
Direct multiplier,Gross operating surplus,Ship and boat building [BS336600],Per dollar of output,0.091
Direct multiplier,Gross operating surplus,Other transportation equipment manufacturing [BS336900],Per dollar of output,0.087
Direct multiplier,Gross operating surplus,Household and institutional furniture and kitchen cabinet manufacturing [BS337100],Per dollar of output,0.051
Direct multiplier,Gross operating surplus,Office furniture (including fixtures) manufacturing [BS337200],Per dollar of output,0.091
Direct multiplier,Gross operating surplus,Other furniture-related product manufacturing [BS337900],Per dollar of output,0.059
Direct multiplier,Gross operating surplus,Medical equipment and supplies manufacturing [BS339100],Per dollar of output,0.106
Direct multiplier,Gross operating surplus,Other miscellaneous manufacturing [BS339900],Per dollar of output,0.035
Direct multiplier,Gross operating surplus,Farm product merchant wholesalers [BS411000],Per dollar of output,0.324
Direct multiplier,Gross operating surplus,"Petroleum, petroleum products, and other hydrocarbons merchant wholesalers [BS412000]",Per dollar of output,0.353
Direct multiplier,Gross operating surplus,"Food, beverage and tobacco merchant wholesalers [BS413000]",Per dollar of output,0.268
Direct multiplier,Gross operating surplus,Personal and household goods merchant wholesalers [BS414000],Per dollar of output,0.279
Direct multiplier,Gross operating surplus,Motor vehicle and motor vehicle parts and accessories merchant wholesalers [BS415000],Per dollar of output,0.308
Direct multiplier,Gross operating surplus,Building material and supplies merchant wholesalers [BS416000],Per dollar of output,0.299
Direct multiplier,Gross operating surplus,"Machinery, equipment and supplies merchant wholesalers [BS417000]",Per dollar of output,0.205
Direct multiplier,Gross operating surplus,Miscellaneous merchant wholesalers [BS418000],Per dollar of output,0.286
Direct multiplier,Gross operating surplus,"Business-to-business electronic markets, and agents and brokers [BS419000]",Per dollar of output,0.137
Direct multiplier,Gross operating surplus,Motor vehicle and parts dealers [BS441000],Per dollar of output,0.039
Direct multiplier,Gross operating surplus,Building material and garden equipment and supplies dealers [BS444000],Per dollar of output,0.181
Direct multiplier,Gross operating surplus,Food and beverage retailers [BS445000],Per dollar of output,0.105
Direct multiplier,Gross operating surplus,"Furniture, home furnishings, electronics and appliances retailers [BS449000]",Per dollar of output,0.121
Direct multiplier,Gross operating surplus,General merchandise retailers [BS455000],Per dollar of output,0.24
Direct multiplier,Gross operating surplus,Health and personal care retailers [BS456000],Per dollar of output,0.178
Direct multiplier,Gross operating surplus,Gasoline stations and fuel vendors [BS457000],Per dollar of output,0.465
Direct multiplier,Gross operating surplus,"Clothing, clothing accessories, shoes, jewelry, luggage and leather goods retailers [BS458000]",Per dollar of output,0.205
Direct multiplier,Gross operating surplus,"Sporting goods, hobby, musical instrument, book, and miscellaneous retailers (except cannabis) [BS459A00]",Per dollar of output,0.131
Direct multiplier,Gross operating surplus,Cannabis retailers (licensed) [BS459BL0],Per dollar of output,0.135
Direct multiplier,Gross operating surplus,Cannabis retailers (unlicensed) [BS459BU0],Per dollar of output,0.785
Direct multiplier,Gross operating surplus,Air transportation [BS481000],Per dollar of output,0.069
Direct multiplier,Gross operating surplus,Rail transportation [BS482000],Per dollar of output,0.413
Direct multiplier,Gross operating surplus,Water transportation [BS483000],Per dollar of output,0.108
Direct multiplier,Gross operating surplus,Truck transportation [BS484000],Per dollar of output,0.096
Direct multiplier,Gross operating surplus,Urban transit systems [BS485100],Per dollar of output,0.425
Direct multiplier,Gross operating surplus,Other transit and ground passenger transportation and scenic and sightseeing transportation [BS48A000],Per dollar of output,0.181
Direct multiplier,Gross operating surplus,Taxi and limousine service [BS485300],Per dollar of output,0.149
Direct multiplier,Gross operating surplus,Crude oil and other pipeline transportation [BS486A00],Per dollar of output,0.523
Direct multiplier,Gross operating surplus,Pipeline transportation of natural gas [BS486200],Per dollar of output,0.662
Direct multiplier,Gross operating surplus,Support activities for transportation [BS488000],Per dollar of output,0.14
Direct multiplier,Gross operating surplus,Postal service [BS491000],Per dollar of output,0.071
Direct multiplier,Gross operating surplus,Couriers and messengers [BS492000],Per dollar of output,0.163
Direct multiplier,Gross operating surplus,Warehousing and storage [BS493000],Per dollar of output,0.176
Direct multiplier,Gross operating surplus,Motion picture and video industries (except exhibition) [BS5121A0],Per dollar of output,0.078
Direct multiplier,Gross operating surplus,Motion picture and video exhibition [BS512130],Per dollar of output,0.169
Direct multiplier,Gross operating surplus,Sound recording industries [BS512200],Per dollar of output,0.133
Direct multiplier,Gross operating surplus,Newspaper publishers [BS513110],Per dollar of output,0.052
Direct multiplier,Gross operating surplus,"Periodical, book and directory publishers [BS5131A0]",Per dollar of output,0.094
Direct multiplier,Gross operating surplus,Software publishers [BS513200],Per dollar of output,0.146
Direct multiplier,Gross operating surplus,Radio and television broadcasting stations [BS516100],Per dollar of output,0.06
Direct multiplier,Gross operating surplus,Pay and specialty television [BS516211],Per dollar of output,0.36
Direct multiplier,Gross operating surplus,Media streaming distribution services and other media content providers [BS51621A],Per dollar of output,0.186
Direct multiplier,Gross operating surplus,Telecommunications [BS517000],Per dollar of output,0.403
Direct multiplier,Gross operating surplus,"Computing infrastructure providers, data processing, web hosting, and related services [BS518000]",Per dollar of output,0.183
Direct multiplier,Gross operating surplus,"Web search portals, libraries, archives, and all other information services [BS519000]",Per dollar of output,0.149
Direct multiplier,Gross operating surplus,Monetary authorities - central bank [BS521000],Per dollar of output,0.107
Direct multiplier,Gross operating surplus,Banking and other depository credit intermediation [BS5221A0],Per dollar of output,0.351
Direct multiplier,Gross operating surplus,Credit unions [BS522B00],Per dollar of output,0.047
Direct multiplier,Gross operating surplus,Non-depository credit intermediation [BS522200],Per dollar of output,0.185
Direct multiplier,Gross operating surplus,Financial auxiliaries [BS52C000],Per dollar of output,0.116
Direct multiplier,Gross operating surplus,Other financial intermediaries [BS52D000],Per dollar of output,0.055
Direct multiplier,Gross operating surplus,Insurance carriers [BS524100],Per dollar of output,0.171
Direct multiplier,Gross operating surplus,Funds and other financial vehicles (except securitization vehicles) [BS526A00],Per dollar of output,-0.002
Direct multiplier,Gross operating surplus,Lessors of real estate [BS531100],Per dollar of output,0.414
Direct multiplier,Gross operating surplus,Offices of real estate agents and brokers and activities related to real estate [BS531A00],Per dollar of output,0.132
Direct multiplier,Gross operating surplus,Owner-occupied dwellings [BS5311A0],Per dollar of output,0.718
Direct multiplier,Gross operating surplus,Automotive equipment rental and leasing [BS532100],Per dollar of output,0.385
Direct multiplier,Gross operating surplus,Rental and leasing services (except automotive equipment) [BS532A00],Per dollar of output,0.322
Direct multiplier,Gross operating surplus,Lessors of non-financial intangible assets (except copyrighted works) [BS533000],Per dollar of output,0.345
Direct multiplier,Gross operating surplus,Legal services [BS541100],Per dollar of output,0.251
